,Neural Network
0,0.9959999999999999
1,0.998
2,0.9974999999999999
3,0.998
4,0.9974999999999999
5,0.9975000000000002
6,0.9970000000000001
7,0.9974999999999999
8,0.9974999999999999
9,0.9975000000000002
10,0.9974999999999999
11,0.9974999999999999
12,0.9969999999999999
13,0.9974999999999999
14,0.9970000000000001
15,0.999
16,0.9964999999999999
17,0.998
18,0.9969999999999999
19,0.9969999999999999
20,0.9974999999999999
21,0.9974999999999999
22,0.9974999999999999
23,0.9979999999999999
24,0.9975000000000002
25,0.9969999999999999
26,0.9970000000000001
27,0.9975000000000002
28,0.9974999999999999
29,0.998
